ID,contourArea,areaPercDiff,aspectRatio,momentLocDiff,label
1,283.5,67.5,0.952381,28.49147,vortex
2,2281.5,52.38806,1.030769,24.713409,vortex
3,1177,53.891941,1.238095,24.540352,vortex
4,2285,32.503556,0.778947,51.181107,no_vortex
5,3155.5,63.490946,1.014286,51.263397,vortex
6,677,42.551854,0.860465,49.897583,vortex
7,296.5,61.387164,0.913043,49.888702,vortex
8,5748.5,36.126823,0.653846,26.522873,no_vortex
9,293,35.515152,0.757576,49.391357,vortex
10,253,70.277778,0.9,22.29512,vortex
11,4961.5,67.228997,1.097561,29.817596,vortex
12,3183,64.590097,0.831169,2.230667,vortex
13,1705.5,57.308468,0.774194,2.63559,vortex
14,314,27.16263,1,13.082802,vortex
15,364.5,54.241071,0.65625,13.816635,vortex
16,1055.5,57.772304,0.460317,4.046265,vortex
17,1167.5,57.230392,0.441176,4.513489,vortex
18,380.5,34.094982,1.16129,34.579056,no_vortex
19,873,56.910039,0.440678,47.880676,vortex
20,274,55.353535,0.454545,10.822983,vortex
21,273.5,30.524554,0.875,43.490555,vortex
22,618,20.064935,2.514286,289.634033,no_vortex
23,289.5,39.711934,1,164.004608,no_vortex
24,274.5,43.990385,1.083333,41.395874,no_vortex
25,393,24.304267,1.484848,82.285828,no_vortex
26,3081,43.553859,0.412214,39.229309,no_vortex
27,400.5,40.05,1.6,62.37413,no_vortex
28,344,26.875,0.8,21.681686,no_vortex
29,209,21.725572,0.702703,55.621208,no_vortex
30,3583,68.430099,0.883117,29.034241,vortex
31,2215.5,56.749488,1.04918,17.368317,vortex
32,594,66.294643,0.875,52.336136,vortex
33,1027,31.253804,0.854839,36.277008,vortex
34,2429.5,68.629944,1.016949,37.448517,vortex
35,5603,61.436404,1.010526,37.752365,vortex
36,2374,65.871254,1.283019,24.716301,vortex
